ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"105.213.103.124","elite","AS16637","ZA","MTN SA","177","MTN SA","5678","socks4","41","1","2023-05-01T04:07:46.581Z","97","1499","1542"
"46.227.162.98","elite","AS31059","RU","Avelacom","57","N/A","33802","socks4","42","1","2023-05-01T04:07:45.975Z","99","1544","1555"
"103.60.212.113","elite","AS134305","IN","Sampath Venkateswara Communications Pvt Ltd.","156","Sampath Venkateswara Communications Pvt Ltd.","51754","socks4","43","1","2023-05-01T04:07:41.347Z","100","1556","1558"
"66.97.37.164","elite","AS27823","AR","Dattatec.com","219","Dattatec Corp","80","socks4","42","1","2023-05-01T04:07:40.016Z","100","1556","1558"
"43.250.81.154","elite","AS58689","BD","ICC Communication","170","N/A","34432","socks4","44","1","2023-05-01T04:07:40.635Z","36","568","1558"
"181.15.154.156","elite","AS7303","AR","Telecom Argentina S.A","257","Municipalidad De Posadas","52033","socks4","44","1","2023-05-01T04:07:39.105Z","99","1546","1559"
"116.58.254.88","elite","AS131090","TH","CAT-BB","179","N/A","4145","socks4","42","1","2023-05-01T04:07:34.738Z","95","1420","1500"
"206.43.196.31","elite","AS267587","BR","Click Speed Servicoes del Telecomunicacoes","250","AGIS","55443","http","40","643","2023-05-01T04:07:34.979Z","99","1420","1439"
"190.186.18.161","anonymous","AS25620","BO","Cotas Ltda.","218","Adsl-ip-fija - Generico","999","http","44","440","2023-05-01T04:07:34.568Z","99","1526","1543"
"91.235.125.1","elite","AS198493","PL","Enternet Pawel Miazga","33","Enternet Pawel Miazga","10801","socks4","41","1","2023-05-01T04:07:33.596Z","100","1437","1438"
"91.216.254.14","elite","AS212918","ES","Clicktel SL","55","Clicktel SL","55555","socks4","42","1","2023-05-01T04:07:33.273Z","100","1554","1559"
"206.62.64.34","anonymous","AS262865","BR","AGIS","200","Ired Servicos de Comunicacao Multimidia Eireli","8080","http","45","404","2023-05-01T04:07:33.088Z","99","1430","1440"
"5.11.17.230","elite","AS42705","IQ","talia.net","89","Talia Ltd","1080","socks5","43","1","2023-05-01T04:07:32.856Z","99","1538","1557"
"62.109.31.192","elite","AS29182","RU","JSC IOT","46","JSC IOT","20000","socks5","41","1","2023-05-01T04:07:32.353Z","100","80","80"
"162.0.220.214","elite","AS22612","US","Namecheap, Inc.","133","Namecheap, Inc.","52889","socks4","41","1","2023-05-01T04:07:32.306Z","100","1510","1516"
"91.224.179.175","elite","AS197602","UA","TeleRadioCompany \"Studio TV-9 Beregsasom\" Ltd.","42","TV9 net 2","5678","socks4","75","1","2023-05-01T04:07:31.519Z","87","1362","1559"
"117.160.250.132","anonymous","AS24445","CN","China Mobile communications corporation","210","China Mobile","8081","http","41","415","2023-05-01T04:07:31.308Z","95","1364","1441"
"93.182.76.244","elite","AS44558","CY","Netonline Bilisim Sirketi LTD","89","Netonline Bilisim Sirketi LTD","5678","socks4","43","1","2023-05-01T04:07:31.093Z","99","1543","1559"
"91.105.163.245","elite","AS21127","RU","ZSTTK","73","JSC Zap-Sib TransTeleCom","1080","socks5","47","1","2023-05-01T04:07:31.659Z","100","1541","1545"
"92.86.92.126","elite","AS9050","RO","Romtelecom","58","N/A","42740","socks4","49","1","2023-05-01T04:07:30.513Z","99","1536","1558"
"59.98.148.27","elite","AS9829","IN","BSNL Internet","180","NIB","5678","socks4","69","1","2023-05-01T04:07:30.657Z","96","1499","1559"
"165.73.128.217","elite","AS327791","ZA","Centracom","187","Pindrop","56975","http","41","383","2023-05-01T04:07:29.340Z","99","1535","1549"
"51.38.32.142","elite","AS16276","FR","OVH SAS","5","OVH","43478","socks5","58","1","2023-05-01T04:07:29.544Z","100","1535","1535"
"110.78.141.219","elite","AS131090","TH","CAT-BB","184","N/A","4145","socks4","57","1","2023-05-01T04:07:29.607Z","78","1210","1558"
"66.152.171.75","elite","AS35916","US","Multacom Corporation","143","Multacom Corporation","59057","socks5","46","1","2023-05-01T04:07:29.257Z","77","1176","1536"
"93.171.224.51","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","53","PE TV and Radio Company Kentavr-TV","4153","socks4","37","1","2023-05-01T04:07:29.904Z","99","1515","1532"
"47.115.162.7","elite","AS37963","CN","Addresses CNNIC","219","Aliyun Computing Co., LTD","8060","socks5","44","1","2023-05-01T04:07:28.593Z","92","1375","1493"
"103.88.126.170","elite","AS134006","IN","Sheng Li Telecom India Private Limited","125","Xantel Corporation Pvt Ltd","5678","socks4","56","1","2023-05-01T04:07:28.192Z","98","1530","1557"
"45.79.0.108","elite","AS63949","US","Akamai Technologies, Inc.","110","Linode","1080","socks5","40","1","2023-05-01T04:07:28.062Z","88","1259","1436"
"139.255.21.74","anonymous","AS9905","ID","PT. LINKNET","231","N/A","8080","http","39","443","2023-05-01T04:07:28.096Z","84","1212","1436"
"111.160.16.187","elite","AS4837","CN","CHINA UNICOM China169 Backbone","244","Tianjin Nixing Electronics Co., Ltd.","10800","socks4","42","1","2023-05-01T04:07:27.049Z","99","1537","1545"
"201.174.73.70","elite","AS32098","MX","Transtelco Inc","156","IP Matrix, S.A. de C.V","11337","socks4","58","1","2023-05-01T04:07:27.165Z","100","1555","1559"
